ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
1168088417,2,0,0,0,0,0,0,0,0,56,2011,12,24,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168129940,2,0,0,0,0,0,0,0,0,56,2012,3,30,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168175251,2,0,0,0,0,0,0,0,0,56,2012,3,1,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168191382,2,0,0,0,0,0,0,0,0,56,2012,2,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168227622,2,0,0,1,36,1,6,7,4,56,2012,2,24,16,58,2012,5,8,14,44,0,0,0,0,0,0,0,0,0,0
1168262671,2,0,0,0,0,0,0,0,0,56,2012,3,15,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168282474,2,0,0,0,0,0,0,0,0,56,2012,1,4,14,34,2012,3,31,9,1,0,0,0,0,0,0,0,0,0,0
1168348825,2,0,0,0,0,0,0,0,0,56,2011,12,17,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168348836,2,0,0,0,0,0,0,0,0,56,2012,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168352316,2,0,0,0,0,0,0,0,0,56,2012,5,2,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168363988,2,0,0,0,0,0,0,0,0,56,2012,2,14,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168377118,2,0,0,0,0,0,0,0,0,56,2012,2,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168395775,2,0,0,0,0,0,0,0,0,75,2012,4,24,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168409225,2,0,0,0,0,0,0,0,0,56,2012,3,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168409324,2,0,0,0,0,0,0,0,0,56,2012,3,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168409530,2,0,0,0,0,0,0,0,0,56,2012,5,8,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168440295,2,0,0,0,0,0,0,0,0,56,2012,1,2,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168445309,2,0,0,0,0,0,0,0,0,56,2012,1,4,14,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168445738,2,0,0,2,17,4,8,4,11,29,2012,1,13,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168449064,2,0,0,0,0,0,0,0,0,56,2012,3,1,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168464852,2,0,0,1,36,3,8,3,5,56,2012,2,29,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168512535,2,0,0,0,0,0,0,0,0,56,2012,2,27,17,56,2012,6,7,6,44,0,0,0,0,0,0,0,0,0,0
1168529579,2,0,0,0,0,0,0,0,0,171,2012,1,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168538550,2,0,0,0,0,0,0,0,0,56,2012,1,26,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168540424,2,0,0,0,0,0,0,0,0,56,2012,3,1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168560856,2,0,0,0,0,0,0,0,0,56,2012,2,3,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
